"2p Filename","Survey_Visual_2019-07-23-18-22-01","Date","2019-07-23 18:20:20.506018","ROI Filename","E:/BMI/07-23-19-cw26/7-23-19 new #5 to #8.roi","ROI Weights","[ 1.  1. -1. -1.]","Decoder","TriggeredImpulseLinearDecel","Impulse","0.0045","min_velocity","-5e-05","max_velocity","0.045","linear_decel","5e-05","Sine Speed","0.0005","stop_thresh","-0.35","reward_thresh","0.35","random_start_range","[0.2, -0.2]","max_trial_length","60","reward_time","2","inter_trial_interval","4","timeout_duration","0","iterations","32"
"Time","Trial","State","Event","Orientation","Position","Velocity","Decoder Output"
"18:20:21.772047","1","BMI Feedback","Session Start","0.0","0.0","0","False"
"18:20:21.772047","1","BMI Feedback","Trial Start","0.0","0.0","0","False"
"18:20:34.324099","1","BMI Feedback","Control Applied","0.0","-0.037650000000000565","0.00445","True"
"18:20:39.469959","1","BMI Feedback","Control Applied","0.0","0.15165000000000067","0.004449999999999999","True"
"18:20:40.485657","1","BMI Feedback","Control Applied","0.0","0.33160000000000067","0.005949999999999998","True"
"18:20:40.563789","1","BMI Feedback","Target Reached","0.0","0.3551000000000007","0","False"
"18:20:40.579423","1","Reward","Reward Presented","0.0","0.3551000000000007","0","False"
"18:20:42.595212","1","ITI","ITI Start","0.0","0.3551000000000007","0","False"
"18:21:00.160787","2","BMI Feedback","Control Applied","0.0","-0.010461497769971281","0.00445","True"
"18:21:01.191999","2","BMI Feedback","Control Applied","0.0","0.1694885022300287","0.005949999999999999","True"
"18:21:01.791586","2","BMI Feedback","Target Reached","0.0","0.35218850223002884","0","False"
"18:21:01.793741","2","Reward","Reward Presented","0.0","0.35218850223002884","0","False"
"18:21:03.794304","2","ITI","ITI Start","0.0","0.35218850223002884","0","False"
"18:21:11.020254","3","BMI Feedback","Control Applied","0.0","-0.19639866068257014","0.00445","True"
"18:21:12.164542","3","BMI Feedback","Control Applied","0.0","-0.0076986606825701345","0.005599999999999999","True"
"18:21:16.243030","3","BMI Feedback","Control Applied","0.0","0.2955513393174318","0.004400000000000005","True"
"18:21:16.477424","3","BMI Feedback","Target Reached","0.0","0.352601339317432","0","False"
"18:21:16.493051","3","Reward","Reward Presented","0.0","0.352601339317432","0","False"
"18:21:18.493611","3","ITI","ITI Start","0.0","0.352601339317432","0","False"
"18:21:29.076477","4","BMI Feedback","Control Applied","0.0","-0.05984598146089907","0.00445","True"
"18:21:32.526498","4","BMI Feedback","Control Applied","0.0","0.1345540185391016","0.004449999999999999","True"
"18:21:49.276169","4","BMI Feedback","Control Applied","0.0","0.2890540185391066","0.004449999999999998","True"
"18:21:49.526728","4","BMI Feedback","Target Reached","0.0","0.35055401853910667","0","False"
"18:21:49.543362","4","Reward","Reward Presented","0.0","0.35055401853910667","0","False"
"18:21:51.560322","4","ITI","ITI Start","0.0","0.35055401853910667","0","False"
"18:22:06.126407","5","BMI Feedback","Control Applied","0.0","0.09337928759741393","0.00445","True"
"18:22:08.793070","5","BMI Feedback","Control Applied","0.0","0.2901292875974143","0.004449999999999999","True"
"18:22:09.056228","5","BMI Feedback","Target Reached","0.0","0.35162928759741435","0","False"
"18:22:09.071855","5","Reward","Reward Presented","0.0","0.35162928759741435","0","False"
"18:22:11.087656","5","ITI","ITI Start","0.0","0.35162928759741435","0","False"
"18:22:20.275967","6","BMI Feedback","Control Applied","0.0","0.13533565014924398","0.00445","True"
"18:22:21.791714","6","BMI Feedback","Control Applied","0.0","0.33553565014924397","0.004449999999999999","True"
"18:22:21.854233","6","BMI Feedback","Target Reached","0.0","0.35303565014924404","0","False"
"18:22:21.869860","6","Reward","Reward Presented","0.0","0.35303565014924404","0","False"
"18:22:23.885660","6","ITI","ITI Start","0.0","0.35303565014924404","0","False"
"18:22:29.433023","7","BMI Feedback","Control Applied","0.0","0.1845549871030727","0.00445","True"
"18:22:30.323728","7","BMI Feedback","Target Reached","0.0","0.35150498710307276","0","False"
"18:22:30.339355","7","Reward","Reward Presented","0.0","0.35150498710307276","0","False"
"18:22:32.353574","7","ITI","ITI Start","0.0","0.35150498710307276","0","False"
"18:22:38.090258","8","BMI Feedback","Control Applied","0.0","-0.018257456977644488","0.00445","True"
"18:22:40.121702","8","BMI Feedback","Control Applied","0.0","0.18039254302235566","0.004449999999999999","True"
"18:22:41.043659","8","BMI Feedback","Target Reached","0.0","0.35089254302235573","0","False"
"18:22:41.059285","8","Reward","Reward Presented","0.0","0.35089254302235573","0","False"
"18:22:43.059849","8","ITI","ITI Start","0.0","0.35089254302235573","0","False"
"18:22:47.940280","9","BMI Feedback","Control Applied","0.0","-0.11934898856838057","0.00445","True"
"18:22:48.942401","9","BMI Feedback","Control Applied","0.0","0.06060101143161945","0.005949999999999999","True"
"18:22:50.075561","9","BMI Feedback","Target Reached","0.0","0.3513010114316199","0","False"
"18:22:50.092215","9","Reward","Reward Presented","0.0","0.3513010114316199","0","False"
"18:22:52.092792","9","ITI","ITI Start","0.0","0.3513010114316199","0","False"
"18:23:21.856431","10","BMI Feedback","Control Applied","0.0","-0.2416772213737365","0.00445","True"
"18:23:27.407915","10","BMI Feedback","Control Applied","0.0","-0.05362722137373683","0.004449999999999999","True"
"18:23:28.923877","10","BMI Feedback","Control Applied","0.0","0.1465727786262631","0.004449999999999998","True"
"18:23:30.207833","10","BMI Feedback","Control Applied","0.0","0.3429227786262631","0.0051499999999999975","True"
"18:23:30.244712","10","BMI Feedback","Target Reached","0.0","0.35317277862626306","0","False"
"18:23:30.258318","10","Reward","Reward Presented","0.0","0.35317277862626306","0","False"
"18:23:32.278709","10","ITI","ITI Start","0.0","0.35317277862626306","0","False"
"18:23:42.076462","11","BMI Feedback","Control Applied","0.0","0.125879720776597","0.00445","True"
"18:23:44.748569","11","BMI Feedback","Control Applied","0.0","0.32257972077659736","0.004449999999999999","True"
